Country	ISO3	Limiting	Securing	Subsidising	Addressing	Protecting	Providing	lat	lng
Australia	AUS	1				1	1	-24.578	133.582
Bulgaria	BGR	1						42.625	24.521
Canada	CAN	1	1				1	59.621	-111.2
Chile	CHL	1					1	-23.176	-69.201
Colombia	COL	1					1	3.794	-73.606
Germany	DEU	1	1			1		51.394	9.657
Hungary	HUN	1						47.174	19.618
Latvia	LVA	1						56.874	26.263
Mexico	MEX	1						22.925	-101.68
New Zealand	NZL	1		1		1		-42.558	172.377
Poland	POL	1						52.442	19.72
Portugal	PRT	1					1	40.957	-7.799
Romania	ROU	1						45.933	25.119
United Kingdom	GBR	1	1	1		1	1	52.289	-1.259
United States	USA	1					1	40.731	-99.225
Finland	FIN		1				1	62.716	26.192
Iceland	ISL			1			1	64.826	-18.417
Netherlands	NLD			1				52.426	5.721
North Macedonia	MKD			1				41.636	21.676
Slovak Republic	SVK			1			1	48.757	18.957
Sweden	SWE			1		1		65.903	18.572
Switzerland	CHE			1				47.012	8.351
Austria	AUT					1		47.65	14.705
Belgium	BEL					1	1	50.773	4.809
France	FRA					1		46.656	2.543
Luxembourg	LUX					1		49.671	6.113
Slovenia	SVN					1		46.037	14.534
Gibraltar	GIB					1		36.14	-5.373
Mauritius	MUS					1		-20.323	57.518
Denmark	DNK						1	56.113	9.096
Estonia	EST						1	58.777	25.977
Greece	GRC						1	39.787	21.617
Israel	ISR							30.992	34.834
Peru	PER							-12.664	-72.98
South Africa	ZAF						1	-31.7	23.441
Spain	ESP						1	40.617	-3.388
Zimbabwe	ZWE						1	-19.098	30.047
